FS,ee_func,converged,fail_reason,tf_s,pos_err_m,vf_mag_ms,CE,delta_m_kg,mf_kg,Tr_s,Ts_s,ct_mean_ms,ct_median_ms,ct_max_ms,ct_std_ms,ct_pct_dt
FS1,linear,True,—,29.3,0.49983,0.31555,400.138143,0.0,3.5,23.88,5.44,25.645,8.1759,600.8128,57.2284,128.22
FS1,quadratic,True,—,29.24,0.498528,0.31473,358.381685,0.0,3.5,23.82,5.44,36.9613,9.4692,675.2877,81.3143,184.81
FS1,cubic,False,ground_collision (hit z=0 before target),24.32,60.761601,2.095841,248.476203,0.0,3.5,,,124.8343,48.5813,918.6239,173.7595,624.17
FS1,exponential,False,ground_collision (hit z=0 before target),23.98,60.857389,2.145342,240.071552,0.0,3.5,,,116.8991,46.0262,683.8884,162.1535,584.5
FS1,saturation,True,—,29.36,0.496015,0.313146,410.19804,0.0,3.5,23.92,5.46,19.9486,7.4685,523.1925,41.8716,99.74
FS1,quadratic_cubic,True,—,29.2,0.496831,0.31366,408.962699,0.0,3.5,23.76,5.46,17.7686,8.2101,455.7962,34.3049,88.84
FS2,linear,True,—,43.28,0.496792,0.377624,701.198173,0.0,3.5,0.1,43.2,488.6364,614.1553,1020.8452,271.7296,2443.18
FS2,quadratic,False,ground_collision (hit z=0 before target),38.16,23.457242,2.795091,599.721688,0.0,3.5,0.1,,490.1502,610.5149,924.0137,231.0658,2450.75
FS2,cubic,False,ground_collision (hit z=0 before target),29.06,42.455882,4.203466,444.7423,0.0,3.5,0.1,,459.5346,603.5448,910.3229,232.3593,2297.67
FS2,exponential,False,ground_collision (hit z=0 before target),29.36,41.164624,4.133794,455.965279,0.0,3.5,0.06,,512.6,627.2587,1112.1828,229.9115,2563.0
FS2,saturation,True,—,43.36,0.496198,0.376784,619.396409,0.0,3.5,0.1,43.28,63.0371,20.4691,653.303,122.986,315.19
FS2,quadratic_cubic,True,—,43.48,0.496499,0.375885,474.080169,0.0,3.5,0.1,43.4,14.5669,10.6132,605.5386,25.1037,72.83
FS3,linear,False,ground_collision (hit z=0 before target),3.4,144.498222,3.357748,0.910918,0.0,3.5,0.0,,65.639,34.4512,504.1947,92.7297,328.19
FS3,quadratic,False,ground_collision (hit z=0 before target),3.4,144.499987,3.352459,0.90628,0.0,3.5,0.0,,61.6824,31.8788,498.43,84.4,308.41
FS3,cubic,False,ground_collision (hit z=0 before target),3.4,144.429502,3.673336,1.251224,0.0,3.5,0.0,,54.9524,30.5798,550.5134,78.7523,274.76
FS3,exponential,False,ground_collision (hit z=0 before target),3.4,144.33537,3.595625,1.711211,0.0,3.5,0.0,,81.0214,39.401,489.3949,108.2741,405.11
FS3,saturation,False,ground_collision (hit z=0 before target),3.42,144.410511,3.359599,1.205763,0.0,3.5,0.0,,73.241,31.0651,543.0992,109.7082,366.21
FS3,quadratic_cubic,False,ground_collision (hit z=0 before target),3.42,144.434587,3.34526,1.134171,0.0,3.5,0.0,,53.3613,29.3784,478.2552,79.6413,266.81
FS4,linear,True,—,84.28,0.496185,0.308302,1398.290194,0.0,3.5,78.56,5.74,42.6365,14.4698,627.8192,84.0007,213.18
FS4,quadratic,True,—,87.08,0.495774,0.296968,1337.389908,0.0,3.5,81.24,5.86,56.9843,16.5347,825.8571,102.1285,284.92
FS4,cubic,False,ground_collision (hit z=0 before target),117.64,200.890512,0.640202,1438.76654,0.0,3.5,,,97.9129,57.4685,679.013,127.9719,489.56
FS4,exponential,False,ground_collision (hit z=0 before target),104.8,200.458949,0.643386,1328.974799,0.0,3.5,,,106.6726,48.3865,677.8641,145.9621,533.36
FS4,saturation,True,—,79.08,0.496219,0.313286,1241.154717,0.0,3.5,73.5,5.6,24.1284,14.4373,621.2176,42.576,120.64
FS4,quadratic_cubic,True,—,80.14,0.49772,0.314215,1056.931865,0.0,3.5,74.52,5.64,17.8517,12.7039,612.1754,28.7936,89.26
