FS,ee_func,converged,fail_reason,tf_s,pos_err_m,vf_mag_ms,CE,delta_m_kg,mf_kg,Tr_s,Ts_s,ct_mean_ms,ct_median_ms,ct_max_ms,ct_std_ms,ct_pct_dt
FS1,linear,True,—,29.3,0.49983,0.31555,400.138143,0.0,3.5,23.88,5.44,29.3509,9.5777,772.6888,65.4047,146.75
FS1,quadratic,True,—,29.24,0.498528,0.31473,358.381685,0.0,3.5,23.82,5.44,40.8642,10.3433,825.1486,90.0977,204.32
FS1,cubic,False,ground_collision (hit z=0 before target),24.32,60.761601,2.095841,248.476203,0.0,3.5,,,136.3128,51.9462,1117.4586,188.8374,681.56
FS1,exponential,False,ground_collision (hit z=0 before target),23.98,60.857389,2.145342,240.071552,0.0,3.5,,,117.4131,46.9694,736.8534,163.0961,587.07
FS1,saturation,True,—,29.36,0.496015,0.313146,410.19804,0.0,3.5,23.92,5.46,21.0257,7.9791,492.0336,43.7451,105.13
FS1,quadratic_cubic,True,—,29.2,0.496831,0.31366,408.962699,0.0,3.5,23.76,5.46,18.554,8.9002,506.2381,36.2864,92.77
FS2,linear,True,—,43.28,0.496792,0.377624,701.198173,0.0,3.5,0.1,43.2,437.0462,563.5312,973.4535,240.4042,2185.23
FS2,quadratic,False,ground_collision (hit z=0 before target),38.16,23.457242,2.795091,599.721688,0.0,3.5,0.1,,460.2055,573.2856,856.2493,216.0086,2301.03
FS2,cubic,False,ground_collision (hit z=0 before target),29.06,42.455882,4.203466,444.7423,0.0,3.5,0.1,,459.4325,571.8943,966.7838,234.2923,2297.16
FS2,exponential,False,ground_collision (hit z=0 before target),29.36,41.164624,4.133794,455.965279,0.0,3.5,0.06,,472.7891,586.3968,831.7025,209.2443,2363.95
FS2,saturation,True,—,43.36,0.496198,0.376784,619.396409,0.0,3.5,0.1,43.28,61.0484,20.044,673.8661,119.168,305.24
FS2,quadratic_cubic,True,—,43.48,0.496499,0.375885,474.080169,0.0,3.5,0.1,43.4,14.5215,10.6305,638.0302,25.0523,72.61
FS3,linear,True,—,37.44,0.496663,0.313554,590.815955,0.0,3.5,0.06,37.4,32.0107,11.8578,629.3147,58.2909,160.05
FS3,quadratic,True,—,37.3,0.495466,0.3128,589.663557,0.0,3.5,0.06,37.26,170.3785,33.4648,900.9807,233.4248,851.89
FS3,cubic,False,ground_collision (hit z=0 before target),28.42,54.672247,2.530441,411.494437,0.0,3.5,0.06,,198.0528,71.0049,1212.0576,232.7219,990.26
FS3,exponential,False,ground_collision (hit z=0 before target),28.5,54.629999,2.522688,417.562822,0.0,3.5,0.04,,199.4449,81.9432,804.4652,229.0732,997.22
FS3,saturation,True,—,37.46,0.496572,0.313497,592.936488,0.0,3.5,0.06,37.42,21.8236,10.613,433.1804,34.9698,109.12
FS3,quadratic_cubic,True,—,37.6,0.49686,0.313678,598.933385,0.0,3.5,0.06,37.56,18.6869,9.9344,332.1297,28.8993,93.43
FS4,linear,True,—,84.28,0.496185,0.308302,1398.290194,0.0,3.5,78.56,5.74,42.5781,14.4008,639.9582,83.6909,212.89
FS4,quadratic,True,—,87.08,0.495774,0.296968,1337.389908,0.0,3.5,81.24,5.86,56.2744,16.3656,865.074,101.1704,281.37
FS4,cubic,False,ground_collision (hit z=0 before target),117.64,200.890512,0.640202,1438.76654,0.0,3.5,,,95.9548,56.1632,788.0724,126.0164,479.77
FS4,exponential,False,ground_collision (hit z=0 before target),104.8,200.458949,0.643386,1328.974799,0.0,3.5,,,104.8852,47.5539,807.4727,143.4754,524.43
FS4,saturation,True,—,79.08,0.496219,0.313286,1241.154717,0.0,3.5,73.5,5.6,24.6471,14.5178,866.8579,44.6921,123.24
FS4,quadratic_cubic,True,—,80.14,0.49772,0.314215,1056.931865,0.0,3.5,74.52,5.64,18.3444,12.8662,609.1385,29.6907,91.72
